Title,Summary,Updated,Category,Link
On the `Semantics' of Differential Privacy: A Bayesian Formulation,"  Differential privacy is a definition of ""privacy'"" for algorithms that
analyze and publish information about statistical databases. It is often
claimed that differential privacy provides guarantees against adversaries with
arbitrary side information. In this paper, we provide a precise formulation of
these guarantees in terms of the inferences drawn by a Bayesian adversary. We
show that this formulation is satisfied by both ""vanilla"" differential privacy
as well as a relaxation known as (epsilon,delta)-differential privacy. Our
formulation follows the ideas originally due to Dwork and McSherry [Dwork
2006]. This paper is, to our knowledge, the first place such a formulation
appears explicitly. The analysis of the relaxed definition is new to this
paper, and provides some concrete guidance for setting parameters when using
(epsilon,delta)-differential privacy.
",2023-01-24,Computer Science - Cryptography and Security,http://arxiv.org/abs/0803.3946
On the Dual Formulation of Boosting Algorithms,"  We study boosting algorithms from a new perspective. We show that the
Lagrange dual problems of AdaBoost, LogitBoost and soft-margin LPBoost with
generalized hinge loss are all entropy maximization problems. By looking at the
dual problems of these boosting algorithms, we show that the success of
boosting algorithms can be understood in terms of maintaining a better margin
distribution by maximizing margins and at the same time controlling the margin
variance.We also theoretically prove that, approximately, AdaBoost maximizes
the average margin, instead of the minimum margin. The duality formulation also
enables us to develop column generation based optimization algorithms, which
are totally corrective. We show that they exhibit almost identical
classification results to that of standard stage-wise additive boosting
algorithms but with much faster convergence rates. Therefore fewer weak
classifiers are needed to build the ensemble using our proposed optimization
technique.
",2023-05-30,Computer Science - Machine Learning,http://arxiv.org/abs/0901.3590
Domain Adaptation: Learning Bounds and Algorithms,"  This paper addresses the general problem of domain adaptation which arises in
a variety of applications where the distribution of the labeled sample
available somewhat differs from that of the test data. Building on previous
work by Ben-David et al. (2007), we introduce a novel distance between
distributions, discrepancy distance, that is tailored to adaptation problems
with arbitrary loss functions. We give Rademacher complexity bounds for
estimating the discrepancy distance from finite samples for different loss
functions. Using this distance, we derive novel generalization bounds for
domain adaptation for a wide family of loss functions. We also present a series
of novel adaptation bounds for large classes of regularization-based
algorithms, including support vector machines and kernel ridge regression based
on the empirical discrepancy. This motivates our analysis of the problem of
minimizing the empirical discrepancy for various loss functions for which we
also give novel algorithms. We report the results of preliminary experiments
that demonstrate the benefits of our discrepancy minimization algorithms for
domain adaptation.
",2023-12-04,Computer Science - Machine Learning,http://arxiv.org/abs/0902.3430
"Q-system Cluster Algebras, Paths and Total Positivity","  We review the solution of the $A_r$ Q-systems in terms of the partition
function of paths on a weighted graph, and show that it is possible to modify
the graphs and transfer matrices so as to provide an explicit connection to the
theory of planar networks introduced in the context of totally positive
matrices by Fomin and Zelevinsky.
",2023-07-12,Economics - General Economics,http://arxiv.org/abs/0906.3421
Optimization of Synthesis Oversampled Complex Filter Banks,"  An important issue with oversampled FIR analysis filter banks (FBs) is to
determine inverse synthesis FBs, when they exist. Given any complex oversampled
FIR analysis FB, we first provide an algorithm to determine whether there
exists an inverse FIR synthesis system. We also provide a method to ensure the
Hermitian symmetry property on the synthesis side, which is serviceable to
processing real-valued signals. As an invertible analysis scheme corresponds to
a redundant decomposition, there is no unique inverse FB. Given a particular
solution, we parameterize the whole family of inverses through a null space
projection. The resulting reduced parameter set simplifies design procedures,
since the perfect reconstruction constrained optimization problem is recast as
an unconstrained optimization problem. The design of optimized synthesis FBs
based on time or frequency localization criteria is then investigated, using a
simple yet efficient gradient algorithm.
",2023-01-19,Computer Science - Information Theory,http://arxiv.org/abs/0907.3654
"Message Passing for Integrating and Assessing Renewable Generation in a
  Redundant Power Grid","  A simplified model of a redundant power grid is used to study integration of
fluctuating renewable generation. The grid consists of large number of
generator and consumer nodes. The net power consumption is determined by the
difference between the gross consumption and the level of renewable generation.
The gross consumption is drawn from a narrow distribution representing the
predictability of aggregated loads, and we consider two different distributions
representing wind and solar resources. Each generator is connected to D
consumers, and redundancy is built in by connecting R of these consumers to
other generators. The lines are switchable so that at any instance each
consumer is connected to a single generator. We explore the capacity of the
renewable generation by determining the level of ""firm"" generation capacity
that can be displaced for different levels of redundancy R. We also develop
message-passing control algorithm for finding switch settings where no
generator is overloaded.
",2023-10-06,Physics - Physics and Society,http://arxiv.org/abs/0909.2358
"On the exact discretization of the classical harmonic oscillator
  equation","  We discuss the exact discretization of the classical harmonic oscillator
equation (including the inhomogeneous case and multidimensional
generalizations) with a special stress on the energy integral. We present and
suggest some numerical applications.
",2023-03-20,Mathematical Physics,http://arxiv.org/abs/0911.3672
Multi-camera Realtime 3D Tracking of Multiple Flying Animals,"  Automated tracking of animal movement allows analyses that would not
otherwise be possible by providing great quantities of data. The additional
capability of tracking in realtime - with minimal latency - opens up the
experimental possibility of manipulating sensory feedback, thus allowing
detailed explorations of the neural basis for control of behavior. Here we
describe a new system capable of tracking the position and body orientation of
animals such as flies and birds. The system operates with less than 40 msec
latency and can track multiple animals simultaneously. To achieve these
results, a multi target tracking algorithm was developed based on the Extended
Kalman Filter and the Nearest Neighbor Standard Filter data association
algorithm. In one implementation, an eleven camera system is capable of
tracking three flies simultaneously at 60 frames per second using a gigabit
network of nine standard Intel Pentium 4 and Core 2 Duo computers. This
manuscript presents the rationale and details of the algorithms employed and
shows three implementations of the system. An experiment was performed using
the tracking system to measure the effect of visual contrast on the flight
speed of Drosophila melanogaster. At low contrasts, speed is more variable and
faster on average than at high contrasts. Thus, the system is already a useful
tool to study the neurobiology and behavior of freely flying animals. If
combined with other techniques, such as `virtual reality'-type computer
graphics or genetic manipulation, the tracking system would offer a powerful
new way to investigate the biology of flying animals.
",2023-02-01,Computer Science - Computer Vision and Pattern Recognition,http://arxiv.org/abs/1001.4297
Explicit Evidence Systems with Common Knowledge,"  Justification logics are epistemic logics that explicitly include
justifications for the agents' knowledge. We develop a multi-agent
justification logic with evidence terms for individual agents as well as for
common knowledge. We define a Kripke-style semantics that is similar to
Fitting's semantics for the Logic of Proofs LP. We show the soundness,
completeness, and finite model property of our multi-agent justification logic
with respect to this Kripke-style semantics. We demonstrate that our logic is a
conservative extension of Yavorskaya's minimal bimodal explicit evidence logic,
which is a two-agent version of LP. We discuss the relationship of our logic to
the multi-agent modal logic S4 with common knowledge. Finally, we give a brief
analysis of the coordinated attack problem in the newly developed language of
our logic.
",2023-08-01,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1005.0484
"Local algorithms for the maximum flow and minimum cut in bounded-degree
  networks","  We show a deterministic constant-time local algorithm for constructing an
approximately maximum flow and minimum fractional cut in
multisource-multitarget networks with bounded degrees and bounded edge
capacities. Locality means that the decision we make about each edge only
depends on its constant radius neighborhood. We show two applications of the
algorithms: one is related to the Aldous-Lyons Conjecture, and the other is
about approximating the neighborhood distribution of graphs by bounded-size
graphs. The scope of our results can be extended to unimodular random graphs
and networks. As a corollary, we generalize the Maximum Flow Minimum Cut
Theorem to unimodular random flow networks.
",2023-11-03,Computer Science - Data Structures and Algorithms,http://arxiv.org/abs/1005.0513
