Title,Summary,Published,Category
"MaxMind: A Memory Loop Network to Enhance Software Productivity based on
  Large Language Models","  The application of large language models to facilitate automated software
operations and tool generation (SOTG), thus augmenting software productivity,
mirrors the early stages of human evolution when the ability to create and use
tools accelerated the progress of civilization. These complex tasks require AI
to continuously summarize and improve. Current research often overlooks the
importance of converting real-time task experiences into system memory and
differentiating the value of existing knowledge for future reference. This
paper addresses these issues by evolving external memory models into
Memory-Loop Networks for timely memorization and experience referencing. We
also enhance a RAG mechanism with knowledge precision segmentation to utilize
memory based on value differentiation, and design the MaxMind model for SOTG
accordingly.To demonstrate our approach, we developed MaxMind4Sheet, an
electronic spreadsheet processing system aligned with the MaxMind philosophy.
Comparative experiments with SheetCopilot have demonstrated that the
accumulation and recycling of task memories lead to a steady enhancement in
task success rate, with an improvement rate of approximately 3%-6% per round in
this implementation example. Note that as the memories continue to grow, this
cumulative improvement may be substantial. The inclusion of memory recycling
can also boost the system's task execution efficiency by up to 25%, and it can
address the retraining issue faced by LLMs when handling specialized tasks
through memories transfer.These suggest that MaxMind has significant potential
to enhance the capabilities and productivity of LLM systems in SOTG.
",2024-08-07 15:27:22+00:00,cs.SE
"Improving the quality of Persian clinical text with a novel spelling
  correction system","  Background: The accuracy of spelling in Electronic Health Records (EHRs) is a
critical factor for efficient clinical care, research, and ensuring patient
safety. The Persian language, with its abundant vocabulary and complex
characteristics, poses unique challenges for real-word error correction. This
research aimed to develop an innovative approach for detecting and correcting
spelling errors in Persian clinical text.
  Methods: Our strategy employs a state-of-the-art pre-trained model that has
been meticulously fine-tuned specifically for the task of spelling correction
in the Persian clinical domain. This model is complemented by an innovative
orthographic similarity matching algorithm, PERTO, which uses visual similarity
of characters for ranking correction candidates.
  Results: The evaluation of our approach demonstrated its robustness and
precision in detecting and rectifying word errors in Persian clinical text. In
terms of non-word error correction, our model achieved an F1-Score of 90.0%
when the PERTO algorithm was employed. For real-word error detection, our model
demonstrated its highest performance, achieving an F1-Score of 90.6%.
Furthermore, the model reached its highest F1-Score of 91.5% for real-word
error correction when the PERTO algorithm was employed.
  Conclusions: Despite certain limitations, our method represents a substantial
advancement in the field of spelling error detection and correction for Persian
clinical text. By effectively addressing the unique challenges posed by the
Persian language, our approach paves the way for more accurate and efficient
clinical documentation, contributing to improved patient care and safety.
Future research could explore its use in other areas of the Persian medical
domain, enhancing its impact and utility.
",2024-08-07 08:31:42+00:00,cs.CL
"Automatic identification of the area covered by acorn trees in the
  dehesa (pastureland) Extremadura of Spain","  The acorn is the fruit of the oak and is an important crop in the Spanish
dehesa extreme\~na, especially for the value it provides in the Iberian pig
food to obtain the ""acorn"" certification. For this reason, we want to maximise
the production of Iberian pigs with the appropriate weight. Hence the need to
know the area covered by the crowns of the acorn trees, to determine the
covered wooded area (CWA, from the Spanish Superficie Arbolada Cubierta SAC)
and thereby estimate the number of Iberian pigs that can be released per
hectare, as indicated by the royal decree 4/2014. In this work, we propose the
automatic estimation of the CWA, through aerial digital images (orthophotos) of
the pastureland of Extremadura, and with this, to offer the possibility of
determining the number of Iberian pigs to be released in a specific plot of
land. Among the main issues for automatic detection are, first, the correct
identification of acorn trees, secondly, correctly discriminating the shades of
the acorn trees and, finally, detect the arbuscles (young acorn trees not yet
productive, or shrubs that are not oaks). These difficulties represent a real
challenge, both for the automatic segmentation process and for manual
segmentation. In this work, the proposed method for automatic segmentation is
based on the clustering algorithm proposed by Gustafson-Kessel (GK) but the
modified version of Babuska (GK-B) and on the use of real orthophotos. The
obtained results are promising both in their comparison with the real images
and when compared with the images segmented by hand. The whole set of
orthophotos used in this work correspond to an approximate area of 142
hectares, and the results are of great interest to producers of certified
""acorn"" pork.
",2024-08-07 04:42:10+00:00,cs.CV
"HeTraX: Energy Efficient 3D Heterogeneous Manycore Architecture for
  Transformer Acceleration","  Transformers have revolutionized deep learning and generative modeling to
enable unprecedented advancements in natural language processing tasks and
beyond. However, designing hardware accelerators for executing transformer
models is challenging due to the wide variety of computing kernels involved in
the transformer architecture. Existing accelerators are either inadequate to
accelerate end-to-end transformer models or suffer notable thermal limitations.
In this paper, we propose the design of a three-dimensional heterogeneous
architecture referred to as HeTraX specifically optimized to accelerate
end-to-end transformer models. HeTraX employs hardware resources aligned with
the computational kernels of transformers and optimizes both performance and
energy. Experimental results show that HeTraX outperforms existing
state-of-the-art by up to 5.6x in speedup and improves EDP by 14.5x while
ensuring thermally feasibility.
",2024-08-06 18:48:01+00:00,cs.AR
Potential and Limitation of High-Frequency Cores and Caches,"  This paper explores the potential of cryogenic computing and superconducting
electronics as promising alternatives to traditional semiconductor devices. As
semiconductor devices face challenges such as increased leakage currents and
reduced performance at higher temperatures, these novel technologies offer high
performance and low power computation. Cryogenic computing operates at
ultra-low temperatures near 77 K, leading to lower leakage currents and
improved electron mobility. On the other hand, superconducting electronics,
operating near 0 K, allow electrons to flow without resistance, offering the
potential for ultra-low-power, high-speed computation. This study presents a
comprehensive performance modeling and analysis of these technologies and
provides insights into their potential benefits and limitations. We implement
models of in-order and out-of-order cores operating at high clock frequencies
associated with superconducting electronics and cryogenic computing in gem5. We
evaluate the performance of these components using workloads representative of
real-world applications like NPB, SPEC CPU2006, and GAPBS. Our results show the
potential speedups achievable by these components and the limitations posed by
cache bandwidth. This work provides valuable insights into the performance
implications and design trade-offs associated with cryogenic and
superconducting technologies, laying the foundation for future research in this
field using gem5.
",2024-08-06 17:16:19+00:00,cs.AR
"Training on the Fly: On-device Self-supervised Learning aboard
  Nano-drones within 20 mW","  Miniaturized cyber-physical systems (CPSes) powered by tiny machine learning
(TinyML), such as nano-drones, are becoming an increasingly attractive
technology. Their small form factor (i.e., ~10cm diameter) ensures vast
applicability, ranging from the exploration of narrow disaster scenarios to
safe human-robot interaction. Simple electronics make these CPSes inexpensive,
but strongly limit the computational, memory, and sensing resources available
on board. In real-world applications, these limitations are further exacerbated
by domain shift. This fundamental machine learning problem implies that model
perception performance drops when moving from the training domain to a
different deployment one. To cope with and mitigate this general problem, we
present a novel on-device fine-tuning approach that relies only on the limited
ultra-low power resources available aboard nano-drones. Then, to overcome the
lack of ground-truth training labels aboard our CPS, we also employ a
self-supervised method based on ego-motion consistency. Albeit our work builds
on top of a specific real-world vision-based human pose estimation task, it is
widely applicable for many embedded TinyML use cases. Our 512-image on-device
training procedure is fully deployed aboard an ultra-low power GWT GAP9
System-on-Chip and requires only 1MB of memory while consuming as low as 19mW
or running in just 510ms (at 38mW). Finally, we demonstrate the benefits of our
on-device learning approach by field-testing our closed-loop CPS, showing a
reduction in horizontal position error of up to 26% vs. a non-fine-tuned
state-of-the-art baseline. In the most challenging never-seen-before
environment, our on-device learning procedure makes the difference between
succeeding or failing the mission.
",2024-08-06 13:11:36+00:00,cs.RO
"Integrating Large Language Models and Knowledge Graphs for Extraction
  and Validation of Textual Test Data","  Aerospace manufacturing companies, such as Thales Alenia Space, design,
develop, integrate, verify, and validate products characterized by high
complexity and low volume. They carefully document all phases for each product
but analyses across products are challenging due to the heterogeneity and
unstructured nature of the data in documents. In this paper, we propose a
hybrid methodology that leverages Knowledge Graphs (KGs) in conjunction with
Large Language Models (LLMs) to extract and validate data contained in these
documents. We consider a case study focused on test data related to electronic
boards for satellites. To do so, we extend the Semantic Sensor Network
ontology. We store the metadata of the reports in a KG, while the actual test
results are stored in parquet accessible via a Virtual Knowledge Graph. The
validation process is managed using an LLM-based approach. We also conduct a
benchmarking study to evaluate the performance of state-of-the-art LLMs in
executing this task. Finally, we analyze the costs and benefits of automating
preexisting processes of manual data extraction and validation for subsequent
cross-report analyses.
",2024-08-03 07:42:53+00:00,cs.AI
"Accelerating Domain-Aware Electron Microscopy Analysis Using Deep
  Learning Models with Synthetic Data and Image-Wide Confidence Scoring","  The integration of machine learning (ML) models enhances the efficiency,
affordability, and reliability of feature detection in microscopy, yet their
development and applicability are hindered by the dependency on scarce and
often flawed manually labeled datasets and a lack of domain awareness. We
addressed these challenges by creating a physics-based synthetic image and data
generator, resulting in a machine learning model that achieves comparable
precision (0.86), recall (0.63), F1 scores (0.71), and engineering property
predictions (R2=0.82) to a model trained on human-labeled data. We enhanced
both models by using feature prediction confidence scores to derive an
image-wide confidence metric, enabling simple thresholding to eliminate
ambiguous and out-of-domain images resulting in performance boosts of 5-30%
with a filtering-out rate of 25%. Our study demonstrates that synthetic data
can eliminate human reliance in ML and provides a means for domain awareness in
cases where many feature detections per image are needed.
",2024-08-02 20:15:15+00:00,cs.CV
Solid-State Oxide-Ion Synaptic Transistor for Neuromorphic Computing,"  Neuromorphic hardware facilitates rapid and energy-efficient training and
operation of neural network models for artificial intelligence. However,
existing analog in-memory computing devices, like memristors, continue to face
significant challenges that impede their commercialization. These challenges
include high variability due to their stochastic nature. Microfabricated
electrochemical synapses offer a promising approach by functioning as an analog
programmable resistor based on deterministic ion-insertion mechanisms. Here, we
developed an all-solid-state oxide-ion synaptic transistor employing
$\text{Bi}_2\text{V}_{0.9}\text{Cu}_{0.1}\text{O}_{5.35}$ as a superior
oxide-ion conductor electrolyte and
$\text{La}_\text{0.5}\text{Sr}_\text{0.5}\text{F}\text{O}_\text{3-$\delta$}$ as
a variable resistance channel able to efficiently operate at temperatures
compatible with conventional electronics. Our transistor exhibits essential
synaptic behaviors such as long- and short-term potentiation, paired-pulse
facilitation, and post-tetanic potentiation, mimicking fundamental properties
of biological neural networks. Key criteria for efficient neuromorphic
computing are satisfied, including excellent linear and symmetric synaptic
plasticity, low energy consumption per programming pulse, and high endurance
with minimal cycle-to-cycle variation. Integrated into an artificial neural
network (ANN) simulation for handwritten digit recognition, the presented
synaptic transistor achieved a 96% accuracy on the MNIST dataset, illustrating
the effective implementation of our device in ANNs. These findings demonstrate
the potential of oxide-ion based synaptic transistors for effective
implementation in analog neuromorphic computing based on iontronics.
",2024-08-01 10:15:51+00:00,cs.ET
"Optimizing Disease Prediction with Artificial Intelligence Driven
  Feature Selection and Attention Networks","  The rapid integration of machine learning methodologies in healthcare has
ignited innovative strategies for disease prediction, particularly with the
vast repositories of Electronic Health Records (EHR) data. This article delves
into the realm of multi-disease prediction, presenting a comprehensive study
that introduces a pioneering ensemble feature selection model. This model,
designed to optimize learning systems, combines statistical, deep, and
optimally selected features through the innovative Stabilized Energy Valley
Optimization with Enhanced Bounds (SEV-EB) algorithm. The objective is to
achieve unparalleled accuracy and stability in predicting various disorders.
This work proposes an advanced ensemble model that synergistically integrates
statistical, deep, and optimally selected features. This combination aims to
enhance the predictive power of the model by capturing diverse aspects of the
health data. At the heart of the proposed model lies the SEV-EB algorithm, a
novel approach to optimal feature selection. The algorithm introduces enhanced
bounds and stabilization techniques, contributing to the robustness and
accuracy of the overall prediction model. To further elevate the predictive
capabilities, an HSC-AttentionNet is introduced. This network architecture
combines deep temporal convolution capabilities with LSTM, allowing the model
to capture both short-term patterns and long-term dependencies in health data.
Rigorous evaluations showcase the remarkable performance of the proposed model.
Achieving a 95% accuracy and 94% F1-score in predicting various disorders, the
model surpasses traditional methods, signifying a significant advancement in
disease prediction accuracy. The implications of this research extend beyond
the confines of academia.
",2024-07-31 14:12:27+00:00,cs.LG
